15:06 23/11/2021,SBS,19.5,22.4,16.6,20.5,18.6,113924
15:05 23/11/2021,BSR,20.9,24,17.8,21.9,20.3,74472
15:02 23/11/2021,HHV,22.3,25.6,19,23,21.5,66441
15:02 23/11/2021,VHG,6.7,7.7,5.7,6.5,5.7,48292
15:02 23/11/2021,VGT,24.8,28.5,21.1,25.7,23.5,46309
15:02 23/11/2021,BVB,25.2,28.9,21.5,25.5,24.2,41354
15:06 23/11/2021,KSH,6.2,7.1,5.3,6.1,5.3,33828
15:02 23/11/2021,C4G,19.6,22.5,16.7,20.1,18.1,24211
15:05 23/11/2021,G36,15.9,18.2,13.6,16.2,13.8,20292
15:02 23/11/2021,ABB,22.6,25.9,19.3,23,21.8,19528
15:02 23/11/2021,AAS,31,35.6,26.4,31.6,29,16206
15:06 23/11/2021,OIL,15.7,18,13.4,16.2,15.1,15938
15:06 23/11/2021,KHB,7.9,9,6.8,7.9,6.8,15565
15:02 23/11/2021,TCI,29.1,33.4,24.8,28.9,26.5,13286
15:05 23/11/2021,EVF,19.1,21.9,16.3,18.9,16.3,13246
15:06 23/11/2021,NED,13.9,15.9,11.9,13.7,13,12780
15:06 23/11/2021,QTP,17.1,19.6,14.6,17,16.4,10901
15:06 23/11/2021,QNS,55.3,63.5,47.1,56,54.1,10131
15:06 23/11/2021,VAB,19.3,22.1,16.5,19.5,18.4,8899
15:06 23/11/2021,LMH,8.9,10.2,7.6,8.7,8.2,8826
15:02 23/11/2021,PAS,23.1,26.5,19.7,23.3,22.5,8794
15:02 23/11/2021,CDO,6.4,7.3,5.5,6.4,5.5,8362
15:02 23/11/2021,PFL,8.3,9.5,7.1,7.9,7.1,8346
15:06 23/11/2021,TVN,17,19.5,14.5,17.3,16.6,7940
15:06 23/11/2021,SDD,7.7,8.8,6.6,7.4,6.6,7778
15:02 23/11/2021,DDV,30.3,34.8,25.8,30.8,28.8,7319
15:06 23/11/2021,LTG,37.9,43.5,32.3,38.7,37,7197
15:02 23/11/2021,VGI,34.9,40.1,29.7,34.8,33,6945
15:06 23/11/2021,VEA,43.4,49.9,36.9,46,43.6,6802
15:02 23/11/2021,DRI,15.7,18,13.4,16.1,14.8,5620
15:06 23/11/2021,TIS,13.9,15.9,11.9,14.5,13.5,5379
